s_id,lastname,firstname,birthyear,sex,nationality,last_club,pb,results
4074340,DEBAVEYE,Sam,1990,M,BEL,Zwemclub S.O.S.,52.99,t
5294336,DE SWERDT,Mathias,2008,M,BEL,Tiense Regio United Swimming Team,53.00,t
5179551,DANHIEUX,Tibe,2006,M,BEL,Zoro,53.01,t
4804380,FARDEAU,Julien,1985,M,BEL,Orca Natation Soignies,53.02,t
4139637,GIELENS,Joran,1994,M,BEL,Brabant East Swimming Team,53.03,t
4044310,TONUS,Frederic,1973,M,BEL,Liege Natation,53.03M,t
4763730,VAN DYCK,Bram,2002,M,BEL,Kempisch Swimming Team,53.03,t
5007852,VAN DROOGENBROECK,Niels,2003,M,BEL,Leuven Aquatics,53.03,t
5096987,ADAMS,Lucas,2004,M,BEL,Meetjesland-Gent Alliantie Zwemteam,53.04,t
4804606,DE MARE,Bavo,1992,M,BEL,Gold Swimming Team,53.05,t
4690188,CAMPS,Roeland,2001,M,BEL,Tiense Regio United Swimming Team,53.05,t
4913570,VAN ERMEN,Alexander,2004,M,BEL,Zwemclub de Dolfijnen Asse-T,53.06,t
4804475,VAN ISEGHEM,Tom,1989,M,BEL,Zwemclub Brabo Antwerpen,53.07,t
4139672,VANHOLME,Pieter,1995,M,BEL,Dilbeekse Zwemvereniging,53.07,t
4139780,BIEREBEECK,Yoshi,1995,M,BEL,Zwemclub Brabo Antwerpen,53.07,t
4805034,CARRITT-KURTZAHN,Felix,1990,M,BEL,Longchamp Swimming Club Uccle,53.08,t
4917602,DEVOS,Abel,2003,M,BEL,Flanders Coast Swimmingteam,53.09,t
4804751,HANSEN,Marc,1988,M,BEL,Molse Zwemclub mozka,53.11,t
4226647,TERRYN,Julien,1993,M,BEL,Ronse Swimming Club,53.12,t
4295905,GYSEMBERG,Cedric,1991,M,BEL,Swimming Team Tienen,53.13,t
4037475,DORMAELS,Frederik,1979,M,BEL,Meetjesland-Gent Alliantie Zwemteam,53.17,t
4804782,MEIJLAERS,Tom,1992,M,BEL,Peltse Zwemclub,53.17,t
4139895,COTTIN,Arnaud,1993,M,BEL,Les Cormorans Farciennois,53.17,t
4295894,VAN DEN WIJNGAERT,Roel,1996,M,BEL,Shark,53.17,t
4068861,HERMAN,Quentin,1983,M,BEL,Cercle De Natation Sportcity W,53.19,t
4074861,DANIELS,Jordan,1988,M,BEL,Liege Mosan,53.20,t
4489338,DELBEKE,Gilles,1998,M,BEL,Oudenaardse Zwemclub,53.21,t
5000777,PINGITORE,Ilario,2005,M,BEL,Entente Des Nageurs Louvierois Natation,53.21,t
5431490,VANHAMEL,Yonas,2005,M,BEL,Koninklijke Zwemclub Olympic A,53.21,t
4225716,TAHON,Loic,1994,M,BEL,Swimming Club Wauterbos Rode,53.22,t
5295823,DE MUL,Tom,2005,M,BEL,Meetjesland-Gent Alliantie Zwemteam,53.25,t
4199988,KETELS,Gertjan,1996,M,BEL,Swimming Team Waasland,53.26,t
4971279,HEYRMAN,Tigo,2003,M,BEL,Zwemclub Brabo Antwerpen,53.26,t
5369830,CLAEYS,Pieter-Jan,2004,M,BEL,Aquarius Zwemclub Lebbeke,53.26,t
4395978,DURIEUX,Damien,1999,M,BEL,Cercle Royal De Natation De Br,53.27,t
5121737,LISSOIR,Colin,2005,M,BEL,Belgium,53.27,t
4012075,VANDAMME,Hugo,2003,M,BEL,Royal Dauphins Mouscronnois,53.28,t
5084777,DO,Duy Thang Tanguy,2000,M,BEL,Blocry, Ottignies Et Univ.L.L.,53.28,t
4863809,TAIS,Charles,2004,M,BEL,Blocry, Ottignies Et Univ.L.L.,53.29,t
4805251,MAES,Daan,1994,M,BEL,Zwemclub Geel,53.30,t
5199964,VAN WELLEN,Joseph,2008,M,BEL,Hoogstraten Zwemteam,53.30,t
4305562,FEYAERTS,Carlos,1997,M,BEL,Brabant East Swimming Team,53.31,t
4792479,GREGOIRE,Juan,2001,M,BEL,Entente Des Nageurs Louvierois Natation,53.31,t
4038017,BAVAY,Cedric,1978,M,BEL,Cercle Royal De Natation Arlonais,53.32,t
4365741,COLPAERT,Kenzo,1997,M,BEL,Meetjesland-Gent Alliantie Zwemteam,53.32,t
4555270,BISENIUS,Rayan,2000,M,BEL,Ecole De Natation Waremmienne,53.32,t
5278521,CIOMMO,Alessander,2008,M,BEL,Tiense Regio United Swimming Team,53.33,t
4609947,MARCENIUK,Bjorn,1999,M,BEL,Koninklijke Hasseltse Zwemvere,53.34,t
4393081,WITTEVRONGEL,Jorik,1999,M,BEL,Meetjesland-Gent Alliantie Zwemteam,53.34,t
5206541,DUMONT,Cyril,2007,M,BEL,Longchamp Swimming Club Uccle,53.34,t
4225832,MEEUSEN,Fabian,1998,M,BEL,Belgium,53.35,t
4305237,DELFERIERE,Alan,1998,M,BEL,Swimming Club Strombeek-Grimbe,53.35,t
4308633,DE MUNCK,Milan,1995,M,BEL,Swimming Team Tienen,53.37,t
4748268,COOREVITS,Simon,2001,M,BEL,Ursus Zwemklub Zwevegem,53.37,t
4805417,VERMEERSCH,Lorenz,1991,M,BEL,Brabant East Swimming Team,53.38,t
4074509,VERVLOET,Mathias,1991,M,BEL,Zwemclub Brabo Antwerpen,53.41,t
4439703,VAN LIERDE,Thomas,1999,M,BEL,Koninklijke Zwemclub Neptunus,53.41,t
4139863,SZABO,Robin,1996,M,BEL,Chaudfontaine Thermale Natatio,53.42,t
4393268,COOLSAET,Guillaume,1999,M,BEL,Gold Swimming Team,53.42,t
4299664,VAN BUGGENHOUT,Koen,1982,M,BEL,Brabant East Swimming Team,53.43,t
4309670,PIERARD,Geoffrey,1998,M,BEL,Cercle Royal De Natation De Huy,53.43,t
5167332,VRANKEN,Bartel,2007,M,BEL,Zwemvereniging De Meerkoet Bre,53.43,t
