"s_id","lastname","firstname","birthyear","sex","nationality","last_club","pb","results"
"4742585","HUSQUINET","Paul",2002,"M","BEL","Liege Mosan","52.73",False
"4139867","CROUQUET","Adrien",1994,"M","BEL","Natation Club Athus","52.77",False
"4308858","LEMBRECHTS","Matthias",1995,"M","BEL","Zwemclub Brabo Antwerpen","52.77",False
"4074367","PETERS","Bert",1992,"M","BEL","Meetjesland-Gent Alliantie Zwemteam","52.78",False
"4296034","ROGGEMAN","Guillaume",1993,"M","BEL","Waterloo Natation","52.78",False
"4304622","BEIRNAERT","Jonas",1997,"M","BEL","Swimming Team Waasland","52.79",False
"4306751","ORIS","Stephane",1996,"M","BEL","Zwemvereniging De Meerkoet Bre","52.79",False
"4052093","MORTIER","Dieter",1982,"M","BEL","Koninklijke Kortrijkse Zwemkri","52.81",False
"4690205","LUST","Louis",2001,"M","BEL","Aalterse Zwemvereniging","52.81",False
"4608339","BRAEKEVELD","Tibo",2001,"M","BEL","Ursus Zwemklub Zwevegem","52.81",False
"4074337","VIDTS","Pieter-Jan",1987,"M","BEL","First (Flanders Inter Regio Sw","52.82",False
"4822314","BERX","Robbe",2003,"M","BEL","Tiense Regio United Swimming Team","52.84",False
"4804953","KRUG","Alexis",1987,"M","BEL","Zwemclub Brabo Antwerpen","52.85",False
"5031305","VANHOVE","Maxime",2005,"M","BEL","Zwemclub Geel","52.85",False
"5170705","VERMAUT","Arthur",2006,"M","BEL","Leuven Aquatics","52.85",False
"4046727","VANGENEUGDEN","Tom",1983,"M","BEL","Peltse Zwemclub","52.87",False
"4398128","DE GOLS","Senne",1998,"M","BEL","Koninklijke Zwemclub Neptunus","52.87",False
"4805253","HOLSTEENS","Kristof",1991,"M","BEL","Genker Zwemvereniging Neptunus","52.88",False
"5199444","LAUREYSSENS","Lukas",2008,"M","BEL","Zwemclub Schoten","52.88",False
"4989648","MEERE","Jarno",2003,"M","BEL","Zwemclub ""de Dolfijnen"" Asse-T","52.89",False
"4439657","STAES","Thomas",2000,"M","BEL","Shark","52.89",False
"4804280","DUMON","Bart",1986,"M","BEL","Brabant East Swimming Team","52.91",False
"4711096","LEPERS","Robin",1999,"M","BEL","Leuven Aquatics","52.91",False
"4726077","DEJONGHE","Arnaud",2002,"M","BEL","Zwemclub De Dolfijnen Middelke","52.91",False
"4805245","VAN MULLEM","Lars",1994,"M","BEL","Swimming Team Waasland","52.92",False
"4170683","VAN KEER","Cedric",1984,"M","BEL","Zwemclub Brabo Antwerpen","52.93",False
"4074334","PEETERS","Nick",1991,"M","BEL","Zwemclub Brabo Antwerpen","52.93",False
"5185905","VAN THIELEN","Michel",1971,"M","BEL","Molse Zwemclub ""mozka""","52.94M",False
"4359928","CLAESSENS","Lars",1996,"M","BEL","Genker Zwemvereniging Neptunus","52.94",False
"5027306","VANSIMAEYS","Wout",2005,"M","BEL","Izegemse Krekel Zwemmers","52.94",False
"5244429","BAETEN","Lukas",2007,"M","BEL","Leuven Aquatics","52.94",False
"4074862","SYSTERMANS","Simon",1987,"M","BEL","Liege Mosan","52.95",False
"4779182","BERGHMANS","Jens",2001,"M","BEL","Zwemclub Schoten","52.96",False
"4074405","URBANUS","Mathieu",1987,"M","BEL","Nageurs Reunis Du Brabant Wallon","52.97",False
"4225698","RYDANT","Hannes",1993,"M","BEL","Meetjesland-Gent Alliantie Zwemteam","52.97",False
"4804979","BOURSIE","Philippe",1984,"M","BEL","Csc La Calamine Neu-Moresnet","52.98",False
"4074510","WILLEMS","Mattias",1991,"M","BEL","Shark","52.98",False
"4074340","DEBAVEYE","Sam",1990,"M","BEL","Zwemclub S.O.S.","52.99",False
"5294336","DE SWERDT","Mathias",2008,"M","BEL","Tiense Regio United Swimming Team","53.00",False
"5179551","DANHIEUX","Tibe",2006,"M","BEL","Zoro","53.01",False
"4804380","FARDEAU","Julien",1985,"M","BEL","Orca Natation Soignies","53.02",False
"4139637","GIELENS","Joran",1994,"M","BEL","Brabant East Swimming Team","53.03",False
"4044310","TONUS","Frederic",1973,"M","BEL","Liege Natation","53.03M",False
"4763730","VAN DYCK","Bram",2002,"M","BEL","Kempisch Swimming Team","53.03",False
"5007852","VAN DROOGENBROECK","Niels",2003,"M","BEL","Leuven Aquatics","53.03",False
"4925165","DEVOLDERE","Henri",2004,"M","BEL","Ursus Zwemklub Zwevegem","53.03",False
"5096987","ADAMS","Lucas",2004,"M","BEL","Meetjesland-Gent Alliantie Zwemteam","53.04",False
"4804606","DE MARE","Bavo",1992,"M","BEL","Gold Swimming Team","53.05",False
"4690188","CAMPS","Roeland",2001,"M","BEL","Tiense Regio United Swimming Team","53.05",False
"4913570","VAN ERMEN","Alexander",2004,"M","BEL","Zwemclub ""de Dolfijnen"" Asse-T","53.06",False
"4804475","VAN ISEGHEM","Tom",1989,"M","BEL","Zwemclub Brabo Antwerpen","53.07",False
"4139672","VANHOLME","Pieter",1995,"M","BEL","Dilbeekse Zwemvereniging","53.07",False
"4139780","BIEREBEECK","Yoshi",1995,"M","BEL","Zwemclub Brabo Antwerpen","53.07",False
"4805034","CARRITT-KURTZAHN","Felix",1990,"M","BEL","Longchamp Swimming Club Uccle","53.08",False
"4917602","DEVOS","Abel",2003,"M","BEL","Flanders Coast Swimmingteam","53.09",False
"4804751","HANSEN","Marc",1988,"M","BEL","Molse Zwemclub ""mozka""","53.11",False
"4226647","TERRYN","Julien",1993,"M","BEL","Ronse Swimming Club","53.12",False
"4295905","GYSEMBERG","Cedric",1991,"M","BEL","Swimming Team Tienen","53.13",False
"4037475","DORMAELS","Frederik",1979,"M","BEL","Meetjesland-Gent Alliantie Zwemteam","53.17",False
"4804782","MEIJLAERS","Tom",1992,"M","BEL","Peltse Zwemclub","53.17",False
"4139895","COTTIN","Arnaud",1993,"M","BEL","Les Cormorans Farciennois","53.17",False
"4295894","VAN DEN WIJNGAERT","Roel",1996,"M","BEL","Shark","53.17",False
"4068861","HERMAN","Quentin",1983,"M","BEL","Cercle De Natation Sportcity W","53.19",False
"4074861","DANIELS","Jordan",1988,"M","BEL","Liege Mosan","53.20",False
"4489338","DELBEKE","Gilles",1998,"M","BEL","Oudenaardse Zwemclub","53.21",False
"5000777","PINGITORE","Ilario",2005,"M","BEL","Entente Des Nageurs Louvierois Natation","53.21",False
"5431490","VANHAMEL","Yonas",2005,"M","BEL","Koninklijke Zwemclub Olympic A","53.21",False
"4225716","TAHON","Loic",1994,"M","BEL","Swimming Club Wauterbos Rode","53.22",False
"5427429","D'HAESELEER","Briek",2007,"M","BEL","Zwemclub De Dolfijnen Middelke","53.25",False
"5295823","DE MUL","Tom",2005,"M","BEL","Meetjesland-Gent Alliantie Zwemteam","53.25",False
"4199988","KETELS","Gertjan",1996,"M","BEL","Swimming Team Waasland","53.26",False
"4971279","HEYRMAN","Tigo",2003,"M","BEL","Zwemclub Brabo Antwerpen","53.26",False
"5369830","CLAEYS","Pieter-Jan",2004,"M","BEL","Aquarius Zwemclub Lebbeke","53.26",False
"4395978","DURIEUX","Damien",1999,"M","BEL","Cercle Royal De Natation De Br","53.27",False
"5121737","LISSOIR","Colin",2005,"M","BEL","Belgium","53.27",False
"4012075","VANDAMME","Hugo",2003,"M","BEL","Royal Dauphins Mouscronnois","53.28",False
